message_id;original_message_id;summary_line_number;cluster;subject;source_tag;specialist;summary;texto_limpo;decisao;justificativa;
sellside-410425bf-3c2b-455e-b6f6-34cd1ef7f35e__line_0010;sellside-410425bf-3c2b-455e-b6f6-34cd1ef7f35e;10;4;"USA: Trump Administration Announces Payment Pause and Federal Employee ""Deferred Resignation""";us_macro_economy;generic/qualitative-research;"- **Payments pause.** A freeze on grants, loans, and federal assistance programs potentially affected by the prior week's executive orders. The initial scope was confusing, generating reports that major programs could stop payments; subsequent guidance narrowed the scope, explicitly excluding Social Security, Medicare, Medicaid, food stamps, small business and farm loans, rental assistance, and ""other similar programs."" OMB instructed agencies to review all programs by 10 February, which could allow payments to resume.";"- **payments pause.** a freeze on grants, loans, and federal assistance programs potentially affected by the prior week's executive orders. the initial scope was confusing, generating reports that major programs could stop payments; subsequent guidance narrowed the scope, explicitly excluding social security, medicare, medicaid, food stamps, small business and farm loans, rental assistance, and ""other similar programs."" omb instructed agencies to review all programs by 10 february, which could allow payments to resume.";util;;
sellside-53873baf-5f95-4eb3-a16a-4003ec8158bc__line_0001;sellside-53873baf-5f95-4eb3-a16a-4003ec8158bc;1;5;US Daily: Surge in Gold Imports Means Latest Data Exaggerate the Downside for Q1 GDP (Abecasis);us_macro_economy;generic/qualitative-research;Definitive impacts. - Gold imports are estimated at roughly $25bn in January, accounting for almost all of the $31bn widening in the US trade deficit that month.;definitive impacts. - gold imports are estimated at roughly $25bn in january, accounting for almost all of the $31bn widening in the us trade deficit that month.;util;;
sellside-e9eca4ba-bb40-451f-91ab-501c1cd38c43__line_0001;sellside-e9eca4ba-bb40-451f-91ab-501c1cd38c43;1;6;Global Markets Daily: Q&A on Stablecoins and Financial System Implications (Zu);us_macro_economy;generic/qualitative-research;"Definitive impacts. - At an individual bank, a customer withdrawing deposits to buy a stablecoin mechanically reduces that bank's reserves and deposits; a reserve-constrained bank must then liquidate securities or loans to meet the outflow.";"definitive impacts. - at an individual bank, a customer withdrawing deposits to buy a stablecoin mechanically reduces that bank's reserves and deposits; a reserve-constrained bank must then liquidate securities or loans to meet the outflow.";util;;
sellside-428fee3f-80fe-4c91-9e50-12dadfc78158__line_0012;sellside-428fee3f-80fe-4c91-9e50-12dadfc78158;12;7;Weekly Fund Flows: Commodities Drive Cyclical Sector Inflows;us_macro_economy;generic/context-analysis;**In fixed income, the composition points to defensive duration positioning within a still-positive flow picture:** money left long-duration bond funds while short-duration and inflation-protected funds kept drawing inflows, and the overall slowdown traced to lighter buying of government and Agg-type funds. Money market assets rose a further $66bn.;**in fixed income, the composition points to defensive duration positioning within a still-positive flow picture:** money left long-duration bond funds while short-duration and inflation-protected funds kept drawing inflows, and the overall slowdown traced to lighter buying of government and agg-type funds. money market assets rose a further $66bn.;util;;
sellside-7b44a273-2b9f-4779-85be-54aafc4090dc__line_0014;sellside-7b44a273-2b9f-4779-85be-54aafc4090dc;14;7;Weekly Fund Flows: Domestic Japanese Equity Demand;us_macro_economy;generic/context-analysis;**Fixed income demand was concentrated in core Agg-type funds, with supporting inflows into inflation-protected bonds and a hard-versus-local split in EM.** Local currency EM bond funds attracted money while hard currency funds lost it. The commodities outflow, the largest at the sector level, is tied to a gold selloff rather than a broader risk-off signal, consistent with the firm FX flows into USD, EUR, and JPY that point to constructive risk sentiment. The note carries no explicit trade idea.;**fixed income demand was concentrated in core agg-type funds, with supporting inflows into inflation-protected bonds and a hard-versus-local split in em.** local currency em bond funds attracted money while hard currency funds lost it. the commodities outflow, the largest at the sector level, is tied to a gold selloff rather than a broader risk-off signal, consistent with the firm fx flows into usd, eur, and jpy that point to constructive risk sentiment. the note carries no explicit trade idea.;util;;
sellside-276f2bb8-ee5a-4e77-bae5-0c5c2e099030__line_0012;sellside-276f2bb8-ee5a-4e77-bae5-0c5c2e099030;12;7;Weekly Fund Flows: A Growing Duration Divergence;us_macro_economy;generic/context-analysis;On the fixed income side, the breadth extends to emerging markets, where both hard and local currency bond funds drew positive flows, and government and Agg-type funds anchored the inflows. FX flows corroborate the risk picture, with the USD attracting the largest cross-border demand across regions. The note reports flows only and offers no explicit trade idea.;on the fixed income side, the breadth extends to emerging markets, where both hard and local currency bond funds drew positive flows, and government and agg-type funds anchored the inflows. fx flows corroborate the risk picture, with the usd attracting the largest cross-border demand across regions. the note reports flows only and offers no explicit trade idea.;util;;
sellside-02603c9e-8bf8-4579-b03e-b20791618956__line_0001;sellside-02603c9e-8bf8-4579-b03e-b20791618956;1;8;Global Markets Daily: EUR vs. USD IG Creditâ€”Another Lesson that Valuations Matter (Ali);us_macro_economy;generic/qualitative-research;Definitive impacts. - EUR IG non-financials have compressed 20bp relative to USD IG since the beginning of December 2024.;definitive impacts. - eur ig non-financials have compressed 20bp relative to usd ig since the beginning of december 2024.;util;;
sellside-77ef19e1-38ed-4a98-afba-83cd449343b3__line_0003;sellside-77ef19e1-38ed-4a98-afba-83cd449343b3;3;9;US Daily: Finding a Job Takes Longer in a Low-Turnover Labor Market (Mei);us_macro_economy;generic/quantitative-research;- The decline in churn is broad-based across industries and states, but sharpest in construction, leisure and hospitality, professional services and retail â€” historically the highest-transition sectors.;- the decline in churn is broad-based across industries and states, but sharpest in construction, leisure and hospitality, professional services and retail â€” historically the highest-transition sectors.;util;;
sellside-6fce349a-5150-44ae-aaaf-25f03a22854a__line_0006;sellside-6fce349a-5150-44ae-aaaf-25f03a22854a;6;9;US Daily: Are College Students Adjusting to AI-Driven Labor Market Shifts?;us_macro_economy;generic/quantitative-research;- The response looks faster than the multi-year adjustment historically seen, plausibly because AI's salience is unusually high in students' major decisions.;- the response looks faster than the multi-year adjustment historically seen, plausibly because ai's salience is unusually high in students' major decisions.;util;;
sellside-a5548681-df48-48b1-97fc-86f7c62874a3__line_0003;sellside-a5548681-df48-48b1-97fc-86f7c62874a3;3;9;US Daily: Why Has the Unemployment Rate of College Graduates Risen More Than Usual?;us_macro_economy;generic/qualitative-research;- Job growth in industries that employ the largest shares of college graduates (information services, finance, professional and business services) averaged -9k/month over 2023-2025, down from +44k/month over 2017-2019.;- job growth in industries that employ the largest shares of college graduates (information services, finance, professional and business services) averaged -9k/month over 2023-2025, down from +44k/month over 2017-2019.;util;;
sellside-24ac65a3-96ab-4682-97db-465a383b117f__line_0006;sellside-24ac65a3-96ab-4682-97db-465a383b117f;6;10;"Mexico: US Southern Border Emergency; Tariffs Warning (Ramos)";us_macro_economy;generic/qualitative-research;- Mexico announced that US-deported migrants will receive a card with 2,000 pesos (~$100) for relocation to their home countries.;- mexico announced that us-deported migrants will receive a card with 2,000 pesos (~$100) for relocation to their home countries.;util;;
sellside-e64baeb2-c02d-4ab7-8956-4750b72d097c__line_0005;sellside-e64baeb2-c02d-4ab7-8956-4750b72d097c;5;10;Mexico: US 25% Import Tariffs on Hold for USMCA Compliant Trade (Ramos);us_macro_economy;generic/qualitative-research;- **Mexico put on hold the countervailing tariff and non-tariff measures** that were scheduled for announcement Sunday, March 9.;- **mexico put on hold the countervailing tariff and non-tariff measures** that were scheduled for announcement sunday, march 9.;util;;
sellside-8fcb958f-bcc4-4269-abb2-21123b29900f__line_0001;sellside-8fcb958f-bcc4-4269-abb2-21123b29900f;1;11;"G10 Inflation Monitor: Three-Month [REDACTED] Trimmed Core Ticks Up in the UK and Euro Area; Gasoline Prices Weigh on Headline (Peters)";us_macro_economy;inflation/context-analysis;"Landscape. - [REDACTED] trimmed core year-over-year sits at +3.4% in the UK, +2.8% in Japan, +2.7% in the US, and +2.4% in both the Euro area and Canada (March; US is a PCE forecast).";"landscape. - trimmed core year-over-year sits at +3.4% in the uk, +2.8% in japan, +2.7% in the us, and +2.4% in both the euro area and canada (march; us is a pce forecast).";util;;
sellside-bfa6115d-d66c-4ff2-88fd-255c342f9a6b__line_0001;sellside-bfa6115d-d66c-4ff2-88fd-255c342f9a6b;1;12;"Asia in Focus: India: Dealing with potential ""reciprocal tariffs"" from the US";us_macro_economy;generic/qualitative-research;Definitive impacts. - India's bilateral goods trade surplus with the US doubled over ten years, from $17bn (0.9% of GDP) in FY14 to $35bn (~1.0% of GDP) in FY24, led by electronics, pharmaceuticals, and textiles.;definitive impacts. - india's bilateral goods trade surplus with the us doubled over ten years, from $17bn (0.9% of gdp) in fy14 to $35bn (~1.0% of gdp) in fy24, led by electronics, pharmaceuticals, and textiles.;util;;
sellside-c48d39e3-c19c-4a4a-8b2f-810cb466c33a__line_0003;sellside-c48d39e3-c19c-4a4a-8b2f-810cb466c33a;3;13;India: President Trump announces surprise 25% â€œreciprocalâ€ tariffs;us_macro_economy;generic/qualitative-research;- India's bilateral goods trade surplus with the US doubled in nominal terms over 10 years, from $20bn (1.0% of GDP, FY15) to $40bn (1.0% of GDP, FY25), driven by electronics, pharmaceuticals, and textiles.;- india's bilateral goods trade surplus with the us doubled in nominal terms over 10 years, from $20bn (1.0% of gdp, fy15) to $40bn (1.0% of gdp, fy25), driven by electronics, pharmaceuticals, and textiles.;util;;
sellside-f585de1f-8f72-4d0e-bed1-b51f4f790512__line_0001;sellside-f585de1f-8f72-4d0e-bed1-b51f4f790512;1;13;India: Initial details on the US-India trade deal;us_macro_economy;generic/qualitative-research;Definitive impacts. - Total US tariff on most Indian imports cut to 18%, from 50% (which had included the extra 25% duty tied to India's Russian oil purchases).;definitive impacts. - total us tariff on most indian imports cut to 18%, from 50% (which had included the extra 25% duty tied to india's russian oil purchases).;util;;
sellside-e6372e4a-08c4-4a6c-bfc3-54176dee1cc4__line_0006;sellside-e6372e4a-08c4-4a6c-bfc3-54176dee1cc4;6;13;"India: President Trump announces an additional 25% ""ad valorem"" duty, effective August 27";us_macro_economy;generic/qualitative-research;Opinative impacts. - [REDACTED] estimates a further ~0.3pp (annualized) drag on India's real GDP growth if the new duty is enforced, on top of the ~0.3pp already estimated from the first 25% tariff â€” based on ~4% goods-export exposure and a ~0.5 export-demand elasticity.;opinative impacts. - estimates a further ~0.3pp (annualized) drag on india's real gdp growth if the new duty is enforced, on top of the ~0.3pp already estimated from the first 25% tariff â€” based on ~4% goods-export exposure and a ~0.5 export-demand elasticity.;util;;
sellside-ae634626-96a5-4943-8c15-10c6ad8de096__line_0001;sellside-ae634626-96a5-4943-8c15-10c6ad8de096;1;14;FX & EM Comment: A Closer Look at US and European Equity Flows;us_macro_economy;generic/qualitative-research;Definitive impacts. - The last four weeks of inflows into European equities are, in total, the largest since 2015 â€” a period itself marked by high optimism on Europe.;definitive impacts. - the last four weeks of inflows into european equities are, in total, the largest since 2015 â€” a period itself marked by high optimism on europe.;util;;
sellside-883b6485-d54d-499b-92b9-55a5f7699c16__line_0009;sellside-883b6485-d54d-499b-92b9-55a5f7699c16;9;15;Global Economics Comment: Global Economic Impacts of the War in Iran;us_macro_economy;inflation/quantitative-research;Feeding those prices through the standard elasticities gives the baseline result â€” a 0.2pp inflation boost and 0.1pp growth drag â€” with oil exporters like Canada and parts of Latin America cushioned. **The asymmetry is the point: the upside $100/bbl scenario more than triples both effects, to +0.7pp on inflation and -0.4pp on growth, so the distribution of outcomes is skewed toward the tail rather than the center.**;feeding those prices through the standard elasticities gives the baseline result â€” a 0.2pp inflation boost and 0.1pp growth drag â€” with oil exporters like canada and parts of latin america cushioned. **the asymmetry is the point: the upside $100/bbl scenario more than triples both effects, to +0.7pp on inflation and -0.4pp on growth, so the distribution of outcomes is skewed toward the tail rather than the center.**;util;;
sellside-874a09f2-c062-4856-b785-7deca5564fd6__line_0015;sellside-874a09f2-c062-4856-b785-7deca5564fd6;15;15;Global Economics Comment: Supply Shocks from the War in Iran Are Mostly Limited to Energy;us_macro_economy;inflation/qualitative-research;At issue. The closure of the Strait of Hormuz amid the war in Iran has driven the commodity team to upgrade oil and gas price forecasts, raising the shock's estimated hit to global growth and inflation. Beyond energy prices themselves, the war disrupts Gulf non-energy exports, chemical and metal production where Gulf states hold large global shares, regional re-export flows, and air traffic through the Middle East â€” the channels through which a broader supply squeeze could, in principle, form.;at issue. the closure of the strait of hormuz amid the war in iran has driven the commodity team to upgrade oil and gas price forecasts, raising the shock's estimated hit to global growth and inflation. beyond energy prices themselves, the war disrupts gulf non-energy exports, chemical and metal production where gulf states hold large global shares, regional re-export flows, and air traffic through the middle east â€” the channels through which a broader supply squeeze could, in principle, form.;util;;
sellside-5f83c70c-5091-49da-8210-362134ea93e4__line_0016;sellside-5f83c70c-5091-49da-8210-362134ea93e4;16;15;Global Market Views: Rates Fighting the Last War;us_macro_economy;monetary-policy/qualitative-research;Backdrop. An Iran war has triggered what the note frames as potentially the largest energy supply shock since the 1970s, centered on disruption risk to the Strait of Hormuz. The initial market response was a rational repricing â€” higher inflation and higher policy rates â€” but it landed on a market that had been positioned for cuts and globally diversified away from US assets. That combination, plus lingering scars from underestimating the 2022 inflation shock, set up the asymmetries the note analyses.;backdrop. an iran war has triggered what the note frames as potentially the largest energy supply shock since the 1970s, centered on disruption risk to the strait of hormuz. the initial market response was a rational repricing â€” higher inflation and higher policy rates â€” but it landed on a market that had been positioned for cuts and globally diversified away from us assets. that combination, plus lingering scars from underestimating the 2022 inflation shock, set up the asymmetries the note analyses.;util;;
sellside-4efa4f5f-c677-4fcc-8002-642ebd38bbd4__line_0009;sellside-4efa4f5f-c677-4fcc-8002-642ebd38bbd4;9;16;US Daily: Section 899: A Potential Deterrent to Foreign Investment in the US (Phillips/Marshall/Snider/Cahill);us_macro_economy;generic/qualitative-research;- [REDACTED] sees a fair chance the Senate drops the passive-income withholding changes entirely, as they create US market uncertainty while doing little to pressure the targeted foreign tax regimes.;- sees a fair chance the senate drops the passive-income withholding changes entirely, as they create us market uncertainty while doing little to pressure the targeted foreign tax regimes.;util;;
sellside-f7fb9fc9-2faa-409e-a8d8-685b210a7c10__line_0001;sellside-f7fb9fc9-2faa-409e-a8d8-685b210a7c10;1;17;Global Markets Comment: Market Thoughts Following the Strikes in Iran;us_macro_economy;generic/qualitative-research;"Definitive impacts. - Oil-flow disruptions through the Strait of Hormuz have already begun; the open question is duration, not whether they have started.";"definitive impacts. - oil-flow disruptions through the strait of hormuz have already begun; the open question is duration, not whether they have started.";util;;
sellside-304be502-8d41-4ed6-88c4-0c252f4bdd71__line_0002;sellside-304be502-8d41-4ed6-88c4-0c252f4bdd71;2;18;AI Adoption Tracker: June 2026: Adoption Rises to 20.6%;us_macro_economy;generic/context-analysis;- Large firms (250+ employees) lead at 40.7%, while publishing and some finance subsectors already sit at or above 50% adoption.;- large firms (250+ employees) lead at 40.7%, while publishing and some finance subsectors already sit at or above 50% adoption.;util;;
sellside-ef83dcd8-de76-45cd-b883-2a9e6cd9cc2a__line_0008;sellside-ef83dcd8-de76-45cd-b883-2a9e6cd9cc2a;8;18;AI Adoption Tracker: April 2026: Adoption Rises to 19.8%;us_macro_economy;generic/context-analysis;Drivers. - Capex momentum is strong and broad, led by semiconductors and reflected in both national-accounts hardware/software investment and elevated Taiwanese shipments â€” the clearest, still-intensifying force.;drivers. - capex momentum is strong and broad, led by semiconductors and reflected in both national-accounts hardware/software investment and elevated taiwanese shipments â€” the clearest, still-intensifying force.;util;;
sellside-71c5832d-bb9f-4843-97e2-f8f1ff51828c__line_0008;sellside-71c5832d-bb9f-4843-97e2-f8f1ff51828c;8;18;AI Adoption Tracker: 2025Q2: AI Adoption Rates Accelerate (Dong/Briggs);us_macro_economy;generic/context-analysis;"- Firm adoption is accelerating, with education, information, finance and professional services each rising over 3pp this quarter; adoption tracks closely with a subsector's exposure of work tasks to AI automation.";"- firm adoption is accelerating, with education, information, finance and professional services each rising over 3pp this quarter; adoption tracks closely with a subsector's exposure of work tasks to ai automation.";util;;
sellside-50f05ce5-166f-4f4f-9b77-7d274a36b5ce__line_0001;sellside-50f05ce5-166f-4f4f-9b77-7d274a36b5ce;1;19;European Daily: EUâ€”Retaliation Options in Response to Further US Tariffs;us_macro_economy;generic/qualitative-research;Definitive impacts. - Real GDP in the eight affected European countries falls 0.1â€“0.2% via lower net exports, if the announced 10% US tariff takes effect February 1.;definitive impacts. - real gdp in the eight affected european countries falls 0.1â€“0.2% via lower net exports, if the announced 10% us tariff takes effect february 1.;util;;
sellside-e9460398-2272-4023-a32c-8d3b611a0f93__line_0016;sellside-e9460398-2272-4023-a32c-8d3b611a0f93;16;20;Global Markets Comment: The Paths Aheadâ€”A Cross-Asset View;us_macro_economy;generic/qualitative-research;The 1990 oil spike is the recurring analogue: markets priced a hawkish policy shock as oil rose, yet the Fed ultimately cut sharply. Yields peaked ahead of the oil price peak, and the final leg higher in oil (Augustâ€“October 1990) produced no further hawkish shift â€” the hawkish pricing was fully unwound, and equities recovered even before growth expectations improved.;the 1990 oil spike is the recurring analogue: markets priced a hawkish policy shock as oil rose, yet the fed ultimately cut sharply. yields peaked ahead of the oil price peak, and the final leg higher in oil (augustâ€“october 1990) produced no further hawkish shift â€” the hawkish pricing was fully unwound, and equities recovered even before growth expectations improved.;util;;
sellside-0c710c01-7d5f-49c1-ab1e-2e32e405a674__line_0005;sellside-0c710c01-7d5f-49c1-ab1e-2e32e405a674;5;20;Global Markets Comment: Beyond Reliefâ€”A Cross-Asset View;us_macro_economy;generic/qualitative-research;- The US-versus-non-US equity valuation gap has narrowed meaningfully as US earnings expectations â€” especially in tech â€” have risen.;- the us-versus-non-us equity valuation gap has narrowed meaningfully as us earnings expectations â€” especially in tech â€” have risen.;util;;
sellside-af58fdea-7b1a-412e-b6bd-0d5f49100a9c__line_0001;sellside-af58fdea-7b1a-412e-b6bd-0d5f49100a9c;1;21;Global Markets Daily: Why the Back-end of Corporate Spread Curves Keep Flattening (Ali);us_macro_economy;generic/qualitative-research;Definitive impacts. - The USD IG 10s30s spread differential sits near its flattest level in over a decade, even as the Treasury 10s30s back end is near its steepest in five years.;definitive impacts. - the usd ig 10s30s spread differential sits near its flattest level in over a decade, even as the treasury 10s30s back end is near its steepest in five years.;util;;
sellside-935b23db-ea4d-4d38-ab8f-94b21f4032c3__line_0011;sellside-935b23db-ea4d-4d38-ab8f-94b21f4032c3;11;22;Global Markets Comment: Market Stress Monitor â€” 15 April 2025;us_macro_economy;generic/context-analysis;The report is organized by segment â€” DM credit, rates, equities, and emerging markets â€” each treated separately through exhibits. **Rates concentrates the remaining fragility, with market depth and price impact still far from normal, while funding appears as the most benign area and credit shows improvement in stress indicators.** Equities remain thinly liquid, evidenced by wide spreads and low depth.;the report is organized by segment â€” dm credit, rates, equities, and emerging markets â€” each treated separately through exhibits. **rates concentrates the remaining fragility, with market depth and price impact still far from normal, while funding appears as the most benign area and credit shows improvement in stress indicators.** equities remain thinly liquid, evidenced by wide spreads and low depth.;util;a maioria parece inutil;
sellside-c605a647-f69f-4e91-ad41-2ece4012ada0__line_0012;sellside-c605a647-f69f-4e91-ad41-2ece4012ada0;12;22;Global Markets Comment: Market Stress Monitor â€” 23 March 2026;us_macro_economy;generic/context-analysis;Equities and EM round out the diagram at the calmer end. **Equity bid-ask spreads have widened yet remain well short of past stress events such as Liberation Day, and EM market function looks fairly stable throughout.** The note carries no explicit trade idea â€” it is a monitoring update, and its substance is the charts rather than the text.;equities and em round out the diagram at the calmer end. **equity bid-ask spreads have widened yet remain well short of past stress events such as liberation day, and em market function looks fairly stable throughout.** the note carries no explicit trade idea â€” it is a monitoring update, and its substance is the charts rather than the text.;util;;
sellside-d9e671f7-9a97-4077-ad12-e6d929117653__line_0009;sellside-d9e671f7-9a97-4077-ad12-e6d929117653;9;22;Global Markets Comment: Market Stress Monitor â€” 17 April 2025;us_macro_economy;generic/context-analysis;Unpacked. This is a monitoring note built almost entirely around normalized stress charts across DM credit, rates, equities, and emerging markets, plus a temperature-check and aggregate index. Indicators are scaled by full-sample averages, averaged within each category, and then combined into a simple aggregate, all shown as three-day moving averages. Levels reflect the April 16 close.;unpacked. this is a monitoring note built almost entirely around normalized stress charts across dm credit, rates, equities, and emerging markets, plus a temperature-check and aggregate index. indicators are scaled by full-sample averages, averaged within each category, and then combined into a simple aggregate, all shown as three-day moving averages. levels reflect the april 16 close.;util;;
sellside-1bb1650c-772d-4681-8fb0-0a6d8e5897c3__line_0001;sellside-1bb1650c-772d-4681-8fb0-0a6d8e5897c3;1;23;Global Markets Comment: Market Thoughts on Trade War 2.0;us_macro_economy;generic/qualitative-research;"Definitive impacts. - A sustained 25% tariff on Canadian and Mexican imports raises the effective US tariff rate by an estimated 7pp; the 10% carve-out on Canadian energy trims this slightly.";"definitive impacts. - a sustained 25% tariff on canadian and mexican imports raises the effective us tariff rate by an estimated 7pp; the 10% carve-out on canadian energy trims this slightly.";util;;
